"","BOPE-CAPITAO","BOPE-CAVEIRA","G.E.O.-JACKAL","G.E.O.-MIRA","GIGN-DOC","GIGN-MONTAGNE","GIGN-RESERVE","GIGN-ROOK","GIGN-TWITCH","GSG9-BANDIT","GSG9-BLITZ","GSG9-IQ","GSG9-JAGER","GSG9-RESERVE","JTF2-BUCK","JTF2-FROST","NAVYSEAL-BLACKBEARD","NAVYSEAL-VALKYRIE","SAS-MUTE","SAS-RESERVE","SAS-SLEDGE","SAS-SMOKE","SAS-THATCHER","SAT-ECHO","SAT-HIBANA","SPETSNAZ-FUZE","SPETSNAZ-GLAZ","SPETSNAZ-KAPKAN","SPETSNAZ-RESERVE","SPETSNAZ-TACHANKA","SWAT-ASH","SWAT-CASTLE","SWAT-PULSE","SWAT-RESERVE","SWAT-THERMITE"
"BANK",0.476166456494325,0.528443476155894,0.493852908891328,0.530039104159261,0.524305039393489,0.463689179375454,0.467368421052632,0.560911710767619,0.483627410750923,0.536947351976254,0.456571168713051,0.48451053283767,0.540085096853656,0.470357941834452,0.471808999081726,0.555863662622761,0.482473766465729,0.540348029934181,0.540128296507484,0.464323748668797,0.491619557671328,0.525953146531925,0.467283820744793,0.550252844500632,0.487066246056782,0.484546486691056,0.488111758719586,0.537037037037037,0.463182897862233,0.478344562078922,0.486059907834101,0.527810650887574,0.516542795492688,0.45438282647585,0.486749923850137
"BARTLETT_U.",0.471725471242146,0.542742259750704,0.47743394674617,0.549381576518368,0.538300731670897,0.449481281010374,0.419565217391304,0.57030223390276,0.484259773213861,0.553700251276647,0.450928381962865,0.482430287916572,0.548326715825298,0.5,0.463456712672522,0.573763201778766,0.467513344376956,0.54421768707483,0.542519908987486,0.472386587771203,0.476604626891633,0.532402106709411,0.456315931836624,0.562560935976601,0.470454760329016,0.463742260468045,0.468267051308469,0.526176948051948,0.492682926829268,0.462242562929062,0.477356043088376,0.529939495097016,0.535348141819735,0.487223168654174,0.469393433500278
"BORDER",0.507724535218644,0.51296031462281,0.515449438202247,0.521949533356378,0.508905465063175,0.466352336048007,0.469135802469136,0.535368679296715,0.513865444899928,0.514369624501783,0.478320401643085,0.499445676274945,0.511084975007351,0.469536053661263,0.499233259499063,0.538222884090345,0.517470525187567,0.513535245242562,0.511513778784447,0.477713178294574,0.517158338350391,0.506317689530686,0.499535423925668,0.506466984343091,0.512431049644256,0.495480032040279,0.498053008416028,0.501423921887714,0.475294117647059,0.484276729559748,0.512815959273072,0.479862158087443,0.500262136940338,0.460258780036969,0.50444344027715
"CHALET",0.537951807228916,0.472065227462244,0.553597226235192,0.45175288340756,0.460015710919089,0.511898980087421,0.430131004366812,0.498003194888179,0.556188461225486,0.466749611197512,0.517753047164812,0.540167095115681,0.477772523055096,0.467581047381546,0.536506116207951,0.487573194534808,0.551165644171779,0.475222474262781,0.464375615628762,0.475635593220339,0.541756144118349,0.462136866415461,0.558987081871845,0.469556585043018,0.558967091796567,0.536460752438458,0.540752959441102,0.463363426411925,0.462616822429907,0.40044994375703,0.55259913037835,0.461784897025172,0.465682910089224,0.44758064516129,0.554568854568855
"CLUB_HOUSE",0.503515744420666,0.503179430467238,0.51512300040328,0.495601633678919,0.489780805687204,0.510724768570784,0.421686746987952,0.520489137504878,0.53194874060981,0.49876627827279,0.511074197120709,0.527027027027027,0.500307348421347,0.47630473905219,0.519758993443204,0.5115850447604,0.50452876376989,0.498363636363636,0.500284317070397,0.43114406779661,0.523446596803218,0.486656387142688,0.51089588377724,0.486662329212752,0.52111166678574,0.521357955605298,0.51202415615227,0.493441189331001,0.46866485013624,0.466326530612245,0.527158731144081,0.478127734033246,0.488347569334599,0.447368421052632,0.521460649341088
"COASTLINE",0.50543855588984,0.499040614007035,0.522492777548494,0.492259523395373,0.490367775831874,0.48141066496707,0.410748560460653,0.523663935428641,0.523938223938224,0.501153846153846,0.505588993981083,0.530817904851184,0.502821732875954,0.472549019607843,0.5228361545832,0.518117543084401,0.517974487823734,0.499673049976646,0.487252861602497,0.47495183044316,0.521606598529676,0.493982435216307,0.51429838173354,0.508007117437722,0.523412105771765,0.516311924900084,0.526330454165506,0.47579556412729,0.506944444444444,0.441624365482233,0.524490024658148,0.485975731052318,0.495111731843575,0.459259259259259,0.51684724371949
"CONSULATE",0.485603364606923,0.531579889067812,0.49597855227882,0.502936186871982,0.516480147171547,0.474528057926041,0.436008676789588,0.540893193435566,0.511998657492868,0.520181881776845,0.463455149501661,0.504181600955794,0.5237651444548,0.454009433962264,0.504201680672269,0.538110574342458,0.491118578972636,0.5264971593555,0.514840733590734,0.474066390041494,0.498920577207136,0.506678317313694,0.503374923297198,0.520516214427531,0.499128919860627,0.494399031183772,0.49487970388649,0.514439655172414,0.431980906921241,0.496575342465753,0.500031460391367,0.502251238181,0.513834422657952,0.449752883031302,0.507983608873817
"FAVELAS",0.547788510421962,0.462615101289134,0.557583474816072,0.450869474125288,0.458389161828197,0.534744707347447,0.423340961098398,0.480604276020996,0.56441717791411,0.468737501666444,0.531589338598223,0.541666666666667,0.464421330691762,0.458912037037037,0.557561361836896,0.481102551757342,0.546163215590743,0.462863493239489,0.460786443623724,0.456292026897214,0.55175490779298,0.454338372333817,0.557559759495527,0.473433242506812,0.565660435182348,0.542767950052029,0.54523072035581,0.459112370160529,0.475059382422803,0.41497461928934,0.561686590895707,0.456301747930083,0.454811919882755,0.490872210953347,0.557360245998581
"HEREFORD_BASE",0.492330827067669,0.527858648730047,0.493006508793796,0.529806884970613,0.510390428211587,0.478665800303227,0.45045045045045,0.545478652877221,0.504798962386511,0.528674351585014,0.486913580246914,0.485616010006254,0.527711844291479,0.44622697563874,0.491480996068152,0.543009532455742,0.493603668839006,0.535336913216698,0.529995102840353,0.426339285714286,0.490189630603968,0.508127289377289,0.486178861788618,0.539002557544757,0.491983579893114,0.487158722813512,0.484886518146637,0.527549589260669,0.45,0.499442586399108,0.500503588064963,0.514824178349805,0.515839189033521,0.429447852760736,0.489130434782609
"HOUSE",0.538484940675388,0.471105527638191,0.543213880330793,0.482730842815426,0.460669336384439,0.522414671421294,0.472093023255814,0.480719794344473,0.551318146915792,0.469062381374162,0.526134405514072,0.532556545579164,0.473361212187042,0.44650864830237,0.53490211587898,0.492120898992508,0.538846572361262,0.473674278165692,0.47237202723013,0.424939467312349,0.535330261136713,0.458318759473009,0.556994201286838,0.487775061124694,0.549199863806605,0.538857326615929,0.546831774469767,0.463982102908277,0.486559139784946,0.4345703125,0.547229791099001,0.450119539230602,0.467241966617463,0.433085501858736,0.551299589603283
"KAFE_DOSTOYEVSKY",0.502691617533966,0.512523610084586,0.526419925512104,0.502107798855766,0.492559523809524,0.482490272373541,0.446058091286307,0.524107375553818,0.518485702778896,0.506599225480123,0.490371066228276,0.508122969257686,0.510435168738899,0.45603495357728,0.515609432082365,0.530297763874406,0.52745995423341,0.511407998611955,0.502396391316606,0.481444332998997,0.512660656052177,0.492411860845202,0.500334448160535,0.513422818791946,0.517044118799467,0.515935904208487,0.51157060209985,0.4844,0.469107551487414,0.417040358744395,0.517121134167953,0.481521739130435,0.498780758146752,0.458620689655172,0.508303808680248
"KANAL",0.520803849419757,0.505690556751769,0.514378730330982,0.505059265683724,0.506151645207439,0.49002624671916,0.453159041394335,0.53228305785124,0.517902256294102,0.5071477195371,0.494802494802495,0.501943198804185,0.512238230410798,0.450110864745011,0.497748188760525,0.536207314119642,0.495120916419177,0.513956084852996,0.519644970414201,0.451041666666667,0.504936530324401,0.49724034119418,0.498488664987406,0.519392372333549,0.516616830414353,0.521680477934091,0.508620051794303,0.504296235679214,0.441253263707572,0.447398843930636,0.509784054208093,0.480177187153931,0.501253418413856,0.478178368121442,0.502890173410405
"OREGON",0.49689143950263,0.510624279360896,0.518306902985075,0.508997429305913,0.500076091919038,0.480838210307721,0.454117647058824,0.540446116635313,0.517535314174379,0.510270184863328,0.508163265306122,0.509062253743105,0.510286200056673,0.466428995840761,0.508364629566405,0.530447193149381,0.489893501412736,0.512326438084443,0.510214401294498,0.453862660944206,0.512156049754994,0.510281556469472,0.492806324110672,0.515809645480677,0.508285693610247,0.505983463881636,0.497168868657711,0.497874924104432,0.421951219512195,0.481404958677686,0.517029300841311,0.485041374920433,0.499790136411333,0.458,0.498407489624554
