"","416-C_CARBINE","552_COMMANDO","556XI","6P41","9mm_C1","9x19VSN","AK-12","AR33","AUG_A2","C7E","C8-SFW","CAMRS","F2","FMG-9","G36C","G8A1","HK417","ITA12L","L85A2","M1014","M12","M249","M590A1","M870","MK17_CQB","MP5","MP5K","MP5SD","MP7","MPX","OTs-03","P90","PARA-308","PDW9","R4-C","SASG-12","SG-CQB","Shield","SPAS-12","SPAS-15","SR-25","SUPER_90","SuperNova","TYPE-89","UMP45","VECTOR_.45_ACP"
"BANK",0.536916780354707,0.488898756660746,0.472306248044227,0.485256950294861,0.564309056956116,0.538114161849711,0.486469958721908,0.455636519502786,0.482273838630807,0.497902097902098,0.47915712322492,0.477784189267167,0.498169745466928,0.51222173723265,0.486344034499281,0.508196721311475,0.414660831509847,0.488095238095238,0.4892578125,0.487613542526837,0.535395265743636,0.484126984126984,0.51198963058976,0.451702571230021,0.496540205201623,0.550297324083251,0.524277374341449,0.549188816016569,0.530428134556575,0.536633274405814,0.488934733683421,0.524723955832933,0.476163925285754,0.465447154471545,0.492191509641469,0.467741935483871,0.465734265734266,0.459533951390629,0.525316455696203,0.526084407971864,0.488486842105263,0.533428165007112,0.517804154302671,0.495725825425457,0.525922592259226,0.527344450421373
"BARTLETT_U.",0.552779223783909,0.490295358649789,0.464681844716871,0.4616497829233,0.577443255321651,0.513698630136986,0.474040338321405,0.462952646239554,0.465201465201465,0.482009105595535,0.458972784939636,0.449842271293375,0.492762523028336,0.534583821805393,0.47364550134837,0.443786982248521,0.434319526627219,0.461538461538462,0.468366927190457,0.499810246679317,0.553062178588125,0.496350364963504,0.521805017679744,0.486925795053004,0.474042553191489,0.555516203293784,0.534956677621751,0.559315124337546,0.546587537091988,0.555799648506151,0.47076384599547,0.532779316712835,0.478818283166109,0.481050818260121,0.478940217391304,0.5,0.514705882352941,0.44432645631068,0.538536585365854,0.539399092970522,0.461658841940532,0.544797687861272,0.510238907849829,0.480393110830009,0.546817139834244,0.555869074492099
"BORDER",0.518486672398968,0.508594539939333,0.494835455200577,0.481368821292776,0.543693212185997,0.506558028616852,0.503257790368272,0.487223168654174,0.512747875354108,0.507027406886859,0.500313217790771,0.4996534996535,0.515769610926408,0.508847549909256,0.498060512024825,0.454976303317536,0.47585394581861,0.458715596330275,0.500526315789474,0.47809809060277,0.519912359840186,0.45619335347432,0.501883701883702,0.482826948480845,0.501101052116467,0.523320810043068,0.516726642676263,0.505852842809365,0.515232575419825,0.524188609920392,0.495104354547797,0.498642533936652,0.499543378995434,0.513127853881279,0.512620578778135,0.448588709677419,0.459844559585492,0.484053062376517,0.516728624535316,0.514765100671141,0.464169381107492,0.522267206477733,0.500740740740741,0.508237729664453,0.502567798900802,0.523201157044715
"CHALET",0.471890870438172,0.545715928694652,0.557422969187675,0.514219830899308,0.49269588313413,0.453696181965881,0.541004909038406,0.566699123661149,0.527314112291351,0.554835018119397,0.547034003474808,0.556935817805383,0.562238778847901,0.441176470588235,0.553626435172221,0.552631578947368,0.56601607347876,0.466367713004484,0.554519971969166,0.449686847599165,0.456869869465752,0.552083333333333,0.472544338335607,0.465346534653465,0.540810502283105,0.483034830348303,0.454514786911054,0.465781833264206,0.465882050292623,0.47044776119403,0.548881153654898,0.441558441558442,0.545945945945946,0.547096774193548,0.561409510776599,0.405405405405405,0.393343419062027,0.519987259117694,0.452847805788982,0.467841984982044,0.523636363636364,0.475455820476858,0.482293423271501,0.560637783862136,0.467053894496286,0.453756886648693
"CLUB_HOUSE",0.505662235352043,0.508092485549133,0.519144557948115,0.511857707509881,0.523569023569024,0.479524180967239,0.52340473761759,0.531933508311461,0.511877394636015,0.513343799058085,0.514928698752228,0.521058965102286,0.528303655107779,0.47536231884058,0.519615692554043,0.523076923076923,0.516627078384798,0.464864864864865,0.519336175395859,0.482279868469127,0.507089027972921,0.486842105263158,0.493781887755102,0.445945945945946,0.512941831338714,0.510283629125892,0.493882733148661,0.511843079200592,0.496825396825397,0.509352373290426,0.518137462876538,0.485143692157818,0.511336717428088,0.516463414634146,0.52212389380531,0.456803455723542,0.445266272189349,0.499852594339623,0.474226804123711,0.504707464694015,0.526652452025586,0.481848184818482,0.518628912071535,0.52073732718894,0.487217391304348,0.491117748781638
"COASTLINE",0.507710557532622,0.51487414187643,0.509375,0.495569620253165,0.52855782960495,0.472157320872274,0.516545215625373,0.492398234428642,0.517948717948718,0.524466750313676,0.503090234857849,0.5,0.527693244065733,0.501893517487191,0.521055179090029,0.504484304932735,0.494897959183673,0.478787878787879,0.514211254988191,0.475493782004389,0.507499704736034,0.513853904282116,0.505090677696468,0.488455988455988,0.513324299909666,0.517424176588164,0.507364074328975,0.521543649306856,0.507117008443908,0.51650464693943,0.513033057025866,0.496949788831535,0.515775749674055,0.509980988593156,0.517303777425922,0.466807165437302,0.443072702331962,0.485328238023748,0.485368314833502,0.509269988412514,0.475409836065574,0.474341192787795,0.495238095238095,0.516432809115736,0.494079113126732,0.49721706864564
"CONSULATE",0.531352944576085,0.48669623059867,0.497096821019016,0.481192334989354,0.552941176470588,0.51650846058605,0.485924265072247,0.491849751948972,0.472822040208488,0.496694657852421,0.472574911122397,0.474629195940671,0.501439316556783,0.506827123351076,0.480841878035618,0.502415458937198,0.485065710872162,0.458100558659218,0.487630208333333,0.529575228265185,0.530971258671952,0.482638888888889,0.499372647427854,0.475209763539283,0.481532907525687,0.536953785290415,0.521917642796764,0.551020408163265,0.526312096547853,0.532146596858639,0.481209450361121,0.527403846153846,0.483407079646018,0.47796817625459,0.499253607563443,0.464373464373464,0.481182795698925,0.472428248951951,0.525773195876289,0.53742802303263,0.507547169811321,0.572649572649573,0.526232114467409,0.494045240188634,0.528152047827251,0.5275833099972
"FAVELAS",0.470166286273231,0.55414364640884,0.552557616638561,0.539617486338798,0.492452830188679,0.454092000738962,0.548057259713701,0.549534000690369,0.546258503401361,0.542879317035312,0.543274035578653,0.556128293241695,0.564552275163208,0.454254638515675,0.552472858866104,0.544198895027624,0.468489892984542,0.440191387559809,0.554879423033581,0.464749012972363,0.465094714531726,0.615925058548009,0.466057797164667,0.475710900473934,0.552226267152058,0.474507824331146,0.46130276895143,0.491148620831618,0.469432899852527,0.462702359538673,0.544732242173844,0.455203619909502,0.567042253521127,0.560753341433779,0.557409675443968,0.427174975562072,0.429359823399558,0.516470232698701,0.462840323767476,0.458372021046116,0.502712477396022,0.477497255762898,0.484463276836158,0.555615509134356,0.461051731509192,0.475095785440613
"HEREFORD_BASE",0.526096282173499,0.508241758241758,0.490628203250842,0.486795146324054,0.553067993366501,0.519036233216848,0.485529217199559,0.470319634703196,0.473684210526316,0.497651734104046,0.491724137931034,0.464824120603015,0.506984010292226,0.502340093603744,0.492361632857501,0.501298701298701,0.464852607709751,0.533057851239669,0.485487742780243,0.492489270386266,0.526099290780142,0.461538461538462,0.503779114607435,0.483554933519944,0.497889182058047,0.543541173375428,0.526258205689278,0.563244905805459,0.526875620479365,0.533442876474,0.488179178763998,0.50044404973357,0.481077395158541,0.478755236385398,0.496998215154957,0.486646884272997,0.479387514723204,0.460589736319819,0.516599190283401,0.52280701754386,0.473267326732673,0.469520103761349,0.486562942008487,0.497513579680208,0.514645496851903,0.535295758928571
"HOUSE",0.474636929460581,0.522361359570662,0.551822427072594,0.525987525987526,0.496017195599949,0.459227467811159,0.544414792222646,0.553229880909419,0.55591054313099,0.554595928439235,0.528523919160911,0.524608501118568,0.56022048690859,0.447445561139029,0.543412763626404,0.512820512820513,0.507853403141361,0.381679389312977,0.547628590514362,0.443728685107995,0.470870035543193,0.522151898734177,0.475297060662914,0.434576271186441,0.553992848629321,0.47863116703752,0.473638191833523,0.480940505878162,0.471543221221589,0.473527366643489,0.54314655725093,0.459076360310928,0.531558185404339,0.548703573931324,0.547410293878876,0.445454545454545,0.416781292984869,0.508687558175613,0.479477611940299,0.472780569514238,0.532684283727399,0.429799426934097,0.491830065359477,0.546170074651087,0.460459850200314,0.480144767266513
"KAFE_DOSTOYEVSKY",0.506598004505954,0.510858835143139,0.508541245223646,0.50919881305638,0.529755092698558,0.480891719745223,0.522502296152669,0.488235294117647,0.530661809350334,0.516460905349794,0.504614767255217,0.5,0.527459263729632,0.482347937048065,0.515845477677539,0.489270386266094,0.492801771871539,0.562841530054645,0.512716256079088,0.478090766823161,0.512918445293193,0.493112947658402,0.496479449811692,0.494283792871553,0.512015177065767,0.514910872687336,0.486471934311482,0.517182715209255,0.509435409634857,0.507350133638793,0.508676455488243,0.488312792180196,0.511433952111918,0.511841469308845,0.52350332594235,0.457200402819738,0.470074812967581,0.490767045454545,0.494252873563218,0.511929930534582,0.492890995260663,0.538050734312417,0.503692762186115,0.519799305287534,0.496286059768527,0.499408808749631
"KANAL",0.520031670625495,0.508530544854155,0.494683502242897,0.469160104986877,0.54073522106309,0.509314384482427,0.505369707443525,0.495061011040093,0.467542503863988,0.506315789473684,0.501442433779177,0.490088105726872,0.510610328638498,0.498718844630794,0.498773507767784,0.478165938864629,0.477064220183486,0.467336683417085,0.496424266773805,0.500188040616773,0.509727100783572,0.501661129568106,0.503593244699964,0.457867263236391,0.502151051625239,0.53465265901132,0.513912618989504,0.523537803138374,0.522875816993464,0.525871823886431,0.502001429592566,0.497478220999541,0.499515033947624,0.507710557532622,0.504730596536241,0.480891719745223,0.479578392621871,0.482485338405453,0.510464058234759,0.519306540583136,0.483500717360115,0.56145251396648,0.496666666666667,0.501577840112202,0.511790072483714,0.50953559470083
"OREGON",0.523294604854481,0.493506493506494,0.497299459891978,0.468164794007491,0.544091931051711,0.492571869573606,0.501005496715377,0.491660875608061,0.495257452574526,0.50759454432734,0.492537313432836,0.464996788696211,0.509197685465066,0.496766743648961,0.506014845149731,0.451086956521739,0.46356783919598,0.439461883408072,0.499961811655083,0.503693754197448,0.525257479156449,0.486842105263158,0.513290689410092,0.478260869565217,0.502411779639502,0.527857656362329,0.522924411400248,0.529739776951673,0.52302472127969,0.512690913086474,0.488231949971575,0.4880195599022,0.493794326241135,0.492490937338167,0.509498221448573,0.48618219037871,0.509661835748792,0.483911992878036,0.509216589861751,0.516716499048655,0.475915221579961,0.511378848728246,0.530748663101604,0.506554375686562,0.50815660685155,0.517338331771321
"PLANE",0.51875,0.493663246831623,0.488745264096278,0.478735005452563,0.546378150151735,0.507258900795022,0.48388909704009,0.476381461675579,0.501995211492418,0.497723823975721,0.49280205655527,0.485868102288022,0.511655328798186,0.503960608006851,0.477493606138107,0.479695431472081,0.451612903225806,0.502857142857143,0.490291262135922,0.504171011470282,0.51142379492895,0.476331360946746,0.508906188151471,0.478260869565217,0.49823677581864,0.539130434782609,0.530756886868147,0.540889039701391,0.523577754727519,0.530332681017613,0.504778724288386,0.530126336248785,0.49646529562982,0.485097636176773,0.501539190149183,0.474252491694352,0.508163265306122,0.481599853894622,0.539289558665231,0.53908484270734,0.48932384341637,0.533585619678335,0.517894736842105,0.503247619895008,0.496725637767569,0.521498064651114
"SKYSCRAPER",0.51809370878018,0.511713367018833,0.501119934840155,0.513312693498452,0.539757994814175,0.510318609703114,0.501457725947522,0.49609375,0.487603305785124,0.501250781738587,0.503772003352892,0.509647371922821,0.51584463112368,0.489827856025039,0.518147975802699,0.497942386831276,0.492044063647491,0.511976047904192,0.495146379044684,0.483431402911118,0.515011835056684,0.504950495049505,0.508746773731001,0.464220183486239,0.512761020881671,0.520259171381639,0.505241626182562,0.518857561332845,0.520712349980643,0.514082419211385,0.498593859854699,0.486374133949192,0.509630818619583,0.495377128953771,0.508648971070683,0.474196689386563,0.484491978609626,0.493244112726805,0.519774011299435,0.500568181818182,0.486772486772487,0.488165680473373,0.497555012224939,0.511624031330722,0.504863323830287,0.502669989320043
"YACHT",0.511256269683891,0.505376344086022,0.508142726440988,0.51219512195122,0.525903753166014,0.501187214611872,0.511295889551302,0.501899827288428,0.502676977989292,0.521498323859496,0.522200392927308,0.505123568414708,0.524278963663028,0.484453141987389,0.521987577639752,0.478632478632479,0.478205128205128,0.49238578680203,0.506753714542999,0.482693039178395,0.500992410974898,0.481159420289855,0.493955623565417,0.486238532110092,0.512820512820513,0.514826876928351,0.506649778340722,0.529842548517027,0.513779968630966,0.51646803900325,0.507983441750444,0.482886216466235,0.507901907356948,0.510231923601637,0.522194958732991,0.462335216572505,0.463990554899646,0.485170267301355,0.503078276165347,0.511116367076632,0.495555555555556,0.499429874572406,0.521850899742931,0.517233560090703,0.502695652173913,0.503841752493052
